date, pm25, pm10, o3, no2, so2, co
2018/04/26,74,36,22,16,1,-1
2018/04/27,74,27,4,17,1,-1
2018/04/28,64,36,16,12,1,-1
2018/04/29,76,28,3,11,1,-1
2018/04/30,63,19,12,9,1,-1
2018/05/01,47,25,10,10,-1,-1
2018/05/02,46,36,12,14,1,-1
2018/05/03,64,36,19,14,2,-1
2018/05/04,69,27,14,11,1,-1
2018/05/05,56,25,9,9,-1,-1
2018/05/06,54,31,18,12,-1,-1
2018/05/07,64,38,27,15,-1,-1
2018/05/08,67,34,11,13,-1,-1
2018/05/09,62,30,18,11,-1,-1
2018/05/10,58,33,9,19,-1,-1
2018/05/11,65,46,18,19,-1,-1
2018/05/12,88,37,18,15,-1,-1
2018/05/13,77,34,18,18,-1,-1
2018/05/14,68,44,16,21,1,-1
2018/05/15,83,29,13,12,-1,-1
2018/05/16,61,24,11,10,-1,-1
2018/05/17,56,32,8,14,-1,-1
2018/05/18,62,29,15,16,-1,-1
2018/05/19,66,40,24,17,-1,-1
2018/05/20,83,39,8,19,-1,-1
2018/05/21,75,40,8,20,-1,-1
2018/05/22,79,38,23,21,-1,-1
2018/05/23,73,26,8,14,-1,-1
2018/05/24,49,26,12,14,-1,-1
2018/05/25,54,28,7,15,1,-1
2018/05/26,58,27,17,11,-1,-1
2018/05/27,62,38,19,18,-1,-1
2018/05/28,75,23,9,9,-1,-1
2018/05/29,50,26,9,11,-1,-1
2018/05/30,54,39,12,17,-1,-1
2018/05/31,72,32,10,13,2,-1
2018/06/01,63,30,14,13,1,-1
2018/06/02,60,26,15,9,1,-1
2018/06/03,52,24,17,10,1,-1
2018/06/04,52,24,13,10,2,-1
2018/06/05,47,29,14,11,1,-1
2018/06/06,60,25,8,10,1,-1
2018/06/07,54,22,8,9,2,-1
2018/06/08,48,23,5,8,2,-1
2018/06/09,52,25,5,6,2,-1
2018/06/10,48,26,5,6,3,-1
2018/06/11,48,24,7,6,1,-1
2018/06/12,43,26,7,6,-1,-1
2018/06/13,47,27,8,8,-1,-1
2018/06/14,52,29,8,8,-1,-1
2018/06/15,60,32,7,10,1,-1
2018/06/16,62,30,15,8,-1,-1
2018/06/17,60,35,14,11,4,-1
2018/06/18,71,40,15,10,-1,-1
2018/06/19,78,27,12,8,-1,-1
2018/06/20,57,31,9,8,1,-1
2018/06/21,60,49,17,11,1,-1
2018/06/22,75,54,14,8,1,-1
2018/06/23,76,42,13,8,-1,-1
2018/06/24,67,25,11,11,1,-1
2018/06/25,51,30,5,10,1,-1
2018/06/26,62,32,2,11,1,-1
2018/06/27,64,31,10,13,-1,-1
2018/06/28,65,38,20,14,1,-1
2018/06/29,72,28,10,9,1,-1
2018/06/30,57,23,16,10,-1,-1
2018/07/01,54,22,9,9,-1,-1
2018/07/02,47,29,11,11,1,-1
2018/07/03,58,21,10,8,1,-1
2018/07/04,52,24,11,11,1,-1
2018/07/05,52,27,9,10,1,-1
2018/07/06,59,34,10,11,1,-1
2018/07/07,67,51,9,10,1,-1
2018/07/08,77,42,11,9,1,-1
