date, pm25
26/5/2019,0.214765101
27/5/2019,0.302013423
28/5/2019,0.281879195
29/5/2019,0.10738255
30/5/2019,0.11409396
31/5/2019,0.181208054
1/6/2019,0.140939597
2/6/2019,0.147651007
3/6/2019,0.201342282
4/6/2019,0.187919463
5/6/2019,0.167785235
6/6/2019,0.248322148
7/6/2019,0.275167785
8/6/2019,0.228187919
9/6/2019,0.154362416
10/6/2019,0.093959732
11/6/2019,0.161073826
12/6/2019,0.100671141
13/6/2019,0.11409396
14/6/2019,0.100671141
15/6/2019,0.127516779
16/6/2019,0.161073826
17/6/2019,0.093959732
18/6/2019,0.067114094
19/6/2019,0.067114094
20/6/2019,0.194630872
21/6/2019,0.228187919
22/6/2019,0.201342282
23/6/2019,0.214765101
24/6/2019,0.174496644
25/6/2019,0.127516779
26/6/2019,0.194630872
27/6/2019,0.187919463
28/6/2019,0.194630872
29/6/2019,0.11409396
30/6/2019,0.120805369
1/7/2019,0.214765101
2/7/2019,0.281879195
3/7/2019,0.248322148
4/7/2019,0.234899329
5/7/2019,0.214765101
6/7/2019,0.268456376
7/7/2019,0.181208054
8/7/2019,0.187919463
9/7/2019,0.22147651
10/7/2019,0.248322148
11/7/2019,0.315436242
12/7/2019,0.214765101
13/7/2019,0.181208054
14/7/2019,0.100671141
15/7/2019,0.10738255
16/7/2019,0.060402685
17/7/2019,0.11409396
18/7/2019,0.127516779
19/7/2019,0.134228188
20/7/2019,0.181208054
21/7/2019,0.134228188
22/7/2019,0.22147651
23/7/2019,0.214765101
24/7/2019,0.208053691
25/7/2019,0.355704698
26/7/2019,0.208053691
27/7/2019,0.10738255
28/7/2019,0.140939597
29/7/2019,0.033557047
30/7/2019,0.154362416
31/7/2019,0.154362416
1/8/2019,0.100671141
2/8/2019,0.100671141
3/8/2019,0.11409396
4/8/2019,0.073825503
5/8/2019,0.087248322
6/8/2019,0.134228188
7/8/2019,0.134228188
8/8/2019,0.174496644
9/8/2019,0.201342282
10/8/2019,0.093959732
11/8/2019,0.053691275
12/8/2019,0.080536913
13/8/2019,0.147651007
14/8/2019,0.22147651
15/8/2019,0.22147651
16/8/2019,0.241610738
17/8/2019,0.087248322
18/8/2019,0.046979866
19/8/2019,0.120805369
20/8/2019,0.140939597
21/8/2019,0.060402685
22/8/2019,0.10738255
23/8/2019,0.120805369
24/8/2019,0.080536913
25/8/2019,0.040268456
26/8/2019,0
27/8/2019,0.080536913
28/8/2019,0.046979866
29/8/2019,0.080536913
30/8/2019,0.080536913
31/8/2019,0.087248322
1/9/2019,0.020134228
2/9/2019,0.11409396
3/9/2019,0.127516779
4/9/2019,0.120805369
5/9/2019,0.161073826
6/9/2019,0.214765101
7/9/2019,0.174496644
8/9/2019,0.154362416
9/9/2019,0.154362416
10/9/2019,0.140939597
11/9/2019,0.167785235
12/9/2019,0.147651007
13/9/2019,0.053691275
14/9/2019,0.140939597
15/9/2019,0.194630872
16/9/2019,0.208053691
17/9/2019,0.281879195
18/9/2019,0.214765101
19/9/2019,0.268456376
20/9/2019,0.288590604
21/9/2019,0.161073826
22/9/2019,0.295302013
23/9/2019,0.187919463
24/9/2019,0.369127517
25/9/2019,0.55033557
26/9/2019,0.510067114
27/9/2019,0.456375839
28/9/2019,0.651006711
29/9/2019,0.718120805
30/9/2019,0.919463087
1/10/2019,0.483221477
2/10/2019,0.342281879
3/10/2019,0.295302013
4/10/2019,0.395973154
5/10/2019,0.375838926
6/10/2019,0.322147651
7/10/2019,0.255033557
8/10/2019,0.255033557
9/10/2019,0.32885906
10/10/2019,0.44966443
